ZINC SMILES,Generated IUPAC,OPSIN SMILES,OPSIN Errors
CN1CC[C@](N)(c2cnn(C3CC3)c2)C1,"*tert*-butyl (1R,3R)-1-(((2S)-2-(2,2-difluoroacetyl)-2-hydroxypyrrolidin-1-yl)carbonyl)-2-azabicyclo[2.2.2]octane-2-carboxylate","","*tert*-butyl (1R,3R)-1-(((2S)-2-(2,2-difluoroacetyl)-2-hydroxypyrrolidin-1-yl)carbonyl)-2-azabicyclo[2.2.2]octane-2-carboxylate is unparsable due to the following being uninterpretable: *tert*-butyl (1R,3R)-1-(((2S)-2-(2,2-difluoroacetyl)-2-hydroxypyrrolidin-1-yl)carbonyl)-2-azabicyclo[2.2.2]octane-2-carboxylate The following was not parseable: *tert*-butyl (1R,3R)-1-(((2S)-2-(2,2-difluoroacetyl)-2-hydroxypyrrolidin-1-yl)carbonyl)-2-azabicyclo[2.2.2]octane-2-carboxylate "
O=C(NCC1(C(=O)O)CC1)c1nnc(Cl)s1,Methyl (2S)-2-[[2-[[(2S)-1-[[(2R)-1-methoxypropan-2-yl]carbamoyl]ethyl]amino]ethyl]amino]ethyl]amino]propanoate,"",Unmatched closing bracket found in :Methyl (2S)-2-[[2-[[(2S)-1-[[(2R)-1-methoxypropan-2-yl]carbamoyl]ethyl]amino]ethyl]amino]ethyl]amino]propanoate 
COC(=O)NCCNC(=O)c1ccc2c(c1)NCCN2,"(2S)-N-{(6S)-9-[2-(pyrrolidin-1-ylsulfonyl)acetyl]-1-oxa-4,9-diazaspiro[5.5]undecan-4-yl}-1-(diethylamino)propanamide","",Atom is in unphysical valency state! Element: C valency: 5 
O=C(Cc1ccc(NC(=O)C(F)(F)F)cc1)N[C@H](CO)CN1CCOCC1,"3-[(4-chlorophenyl)methylidene]-6-[N-(furan-3-ylmethyl)carbamoyl]-2,3-dihydrobenzo[d]isothiazol-3-one","",Atom is in unphysical valency state! Element: C valency: 6 
C[C@@H](C(=O)NC[C@@H](C)N(C)C(=O)CC(C)(C)C)C(F)(F)F,"N-(4-chloro-2,6-dimethylphenyl)-N'-[1-(benzyloxycarbonyl)-2-methylazetidin-2-yl]urea",ClC1=CC(=C(C(=C1)C)NC(=O)NC1(N(CC1)C(=O)OCC1=CC=CC=C1)C)C,""
CC(C)N[C@@H](CO)[C@@H](C)N1CC[C@@H]2CCN(C)[C@@H]2C1,"2-amino-6-chloro-5-[N-[(5-hydroxy-4-oxo-4,5-dihydro-1H-pyrrol-2-yl)methyl]carbamoyl]pyrimidine",NC1=NC(=C(C=N1)C(NCC=1NC(C(C1)=O)O)=O)Cl,""
CCS(=O)(=O)C[C@](C)(Nc1ccc(O)nc1)C(=O)O,"3-cyano-N-((1R,5S)-3-((3S)-(1,1-dioxo-1$\lambda^6$-tetrahydrothiophen-3-yl)methyl)-3-azabicyclo[3.1.0]hexan-1-yl)-1H-indole-5-carboxamide","","3-cyano-N-((1R,5S)-3-((3S)-(1,1-dioxo-1$\lambda^6$-tetrahydrothiophen-3-yl)methyl)-3-azabicyclo[3.1.0]hexan-1-yl)-1H-indole-5-carboxamide is unparsable due to the following being uninterpretable: 1$\lambda^6$-tetrahydrothiophen-3-yl)methyl)-3-azabicyclo[3.1.0]hexan-1-yl)-1H-indole-5-carboxamide The following was not parseable: $\lambda^6$-tetrahydrothiophen-3-yl)methyl)-3-azabicyclo[3.1.0]hexan-1-yl)-1H-indole-5-carboxamide "
COC[C@@H]1CC[C@H](OCC2COCCOC2)C[C@H]1O,"(1R,6S)-6-[(3,5-dichloropyrrol-2(1H)-ylidene)carbonyl]cyclohexane-1-carboxylic acid","",Additive bond formation failure: bond order disagreement 
C/C=C(/C)C(=O)N1CC[C@H](NC(=O)[C@H](COC)OC)[C@H]1C,"(2S,6R)-2-ethoxy-6-((4-chloro-1,3-dihydropyrimidin-2(1H),6(3H)-diylidene)bis(azanylylidene))piperidine","","hydrogen addition at locant: 3 was requested, but this atom is not unsaturated "
CC(C)(C)NC(=O)CCN1CCCNCC(F)(F)C1=O,"N-methyl-2-[1-[(2S)-tetrahydrofuran-2-ylmethyl]-4-[(1S,5R)-3-azabicyclo[3.1.0]hex-2-en-3-yl]-1H-1,2,4-triazol-5-yl]-6-nitroaniline","",Atom is in unphysical valency state! Element: N valency: 4 
CCCc1sc(C(=O)N2CCN(C(=O)Nc3ccc(Cl)cc3)CC2)cc1CC,"N-[(R)-1-methyl-4-methoxybutyl]-N'-(4-methylpiperidin-1-yl)ethane-1,2-diamine",C[C@H](CCCOC)NCCNN1CCC(CC1)C,""
COc1ccc([C@@H]2[C@@H](C(=O)NNC(=O)Cc3ccncc3)CCC(=O)N2C)cc1,(R)-1-(6-bromo-5-chlorophenyl)-5-cyano-5-methoxypentan-2-one,BrC1=C(C=CC=C1CC(CC[C@@H](OC)C#N)=O)Cl,""
C[C@](O)(CCO)CNC(=O)CCCCCCCN,3-[bis(2-hydroxyethyl)aminomethyl]-2-{[(N-butylcarbamoyl)oxymethyl]oxy}-1-(2-methylpropyl)quinolin-4(1H)-one,OCCN(CCO)CC1=C(N(C2=CC=CC=C2C1=O)CC(C)C)OCOC(NCCCC)=O,""
CN[C@H](c1c(Cl)cccc1Cl)[C@]1(O)COC2CC1C2,"(4R,5R)-4-[(S)-[2-[(2R)-oxiran-2-yl]ethyl]sulfinyl]-5-methyltetrahydrofuran",O1[C@@H](C1)CC[S@](=O)[C@@H]1CCO[C@@H]1C,""
Cc1cc(Br)c(F)c(N2C[C@H](O)C[C@@H](F)C2)c1,"N-(1-((2R,4R)-2,4-dimethylpentanoyl)piperidin-2-yl)-2,7-dimethylbenzofuran-5-carboxamide","","Could not find atom that: <stereoChemistry locant=""4"" type=""RorS"" value=""R"" stereoGroup=""Abs"">4R</stereoChemistry> appeared to be referring to "
C[C@@H](COCC(=O)O)NC(=O)[C@@]12CC[C@@](CF)(C1)OC2,"N-((1,2,4-thiadiazol-5-yl)methyl)-2-methylfuran-5-carboxamide",S1N=CN=C1CNC(=O)C1=CC=C(O1)C,""
C[C@@H]1CCN[C@H]1C[S@](=O)Cc1cncn1C,"3-{[(R)-1-(6-methylpyridin-2-yl)ethylamino]methyl}-5-methyl-1,2,4-oxadiazole",CC1=CC=CC(=N1)[C@@H](C)NCC1=NOC(=N1)C,""
NCCCONc1ccc(C(=O)O)nc1,"(2S,4R)-4-methoxy-N-methyl-N-[2-[(1R,3R)-3-methoxycyclobutyl]ethyl]pyrrolidine-2-carboxamide","","Could not find atom that: <stereoChemistry locant=""1"" type=""RorS"" value=""R"" stereoGroup=""Abs"">1R</stereoChemistry> appeared to be referring to "
COC(=O)[C@H](CN)N(C)C[C@H]1C[C@@H]2CC[C@@H]2C1,"1-[2-(N-acetyl-N-(4-nitrobenzoyl)hydrazin-1-yl)acetyl]-(2R,4R)-2-methyl-4-(pyridin-2-yl)piperidine","",Atom is in unphysical valency state! Element: N valency: 4 
O=C(NC[C@H]1CN2CCCN1CC2)c1cccc2nccn12,"(1R,2S,5R)-1-(Methoxymethyl)-N-(tert-butoxycarbonyl)-2,5-methano-1-azabicyclo[3.1.1]heptan-3-ylmethylcyclohexane","",Atom is in unphysical valency state! Element: N valency: 5 
CNCCC[C@@](C)(NC[C@@H]1CC=CCO1)C(=O)O,"5-Ethyl-2-methyl-5-{N-[(1R)-1-(N,N-dimethylcarbamoyl)ethyl]amino}-4,5-dihydro-3H-pyrazole",C(C)C1(CCN(N1)C)N[C@H](C)C(N(C)C)=O,""
CCn1ncnc1CN(C)[C@H](C)CNC(=O)[C@H](C)OC,methyl (6R)-1-[(2S)-2-oxocyclohexyl]-4-methylpiperazine-6-carboxylate,"","Could not find atom that: <stereoChemistry locant=""2"" type=""RorS"" value=""S"" stereoGroup=""Abs"">2S</stereoChemistry> appeared to be referring to "
CCCNCCOC[C@]1(OC)CCOC1,"N-{[cis-3-(cyanomethyl)cyclohexyl]methyl}-1,4-dimethyl-1H-tetrazole-5-carboxamide",C(#N)C[C@H]1C[C@H](CCC1)CNC(=O)C1N(N=NN1C)C,""
CO[C@H]1C[C@@H](O)CN(C(=O)[C@H]2CCC[C@@H](CN)C2)C1,N-[4-(1H-pyrazol-4-yl)cyclohexyl]-N-[(R)-1-methyl-3-[methyl(tert-butoxycarbonyl)amino]propyl]amine,N1N=CC(=C1)C1CCC(CC1)N[C@@H](CCN(C(=O)OC(C)(C)C)C)C,""
CC(C)N1C[C@@H](O)[C@H]([C@@H]2C(=O)CO[C@H]2C)C1,1-((3Z)-hex-3-en-1-yl)-4-methoxy-1H-imidazole,C(C\C=C/CC)N1C=NC(=C1)OC,""
CCn1nnc(CC2(C(=O)O)C[C@H]3C[C@@H]3C2)n1,(S)-2-[N-[3-(dimethylamino)propyl]amino]-2-cyclopropyl-2-(methoxymethyl)acetic acid,CN(CCCN[C@](C(=O)O)(COC)C1CC1)C,""
N#Cc1ccc(C(=O)N[C@H]2[C@@H]3CN(C[C@@H]4CCS(=O)(=O)C4)C[C@@H]32)[nH]1,"(R)-N-(pyridin-2-ylmethyl)-4,4-dimethylpiperidine-2-carboxamide",N1=C(C=CC=C1)CNC(=O)[C@@H]1NCCC(C1)(C)C,""
O=C(N=c1c(Cl)c[nH]cc1Cl)[C@H]1CCCC[C@H]1C(=O)O,"(3S,4R,5S,6R)-5-(carbamoyl)-3-(1-amino-1-methylpropyl)-4-(pyridin-3-yl)-1-azabicyclo[2.2.1]heptane","","Could not find atom that: <stereoChemistry locant=""6"" type=""RorS"" value=""R"" stereoGroup=""Abs"">6R</stereoChemistry> appeared to be referring to "
CCO[C@@H]1CNCC[C@H]1N=c1[nH]c(Cl)cc(=N)[nH]1,"2-amino-6-([1,2,4]triazolo[4,3-a]pyrazin-1-yl)benzoic acid","",Failed to assign all double bonds! (Check that indicated hydrogens have been appropriately specified) 
CNc1c(-c2nnc(N3C[C@H]4C=C[C@H]3C4)n2C[C@H]2CCOC2)cccc1[N+](=O)[O-],"2-{[(4-methylphenyl)sulfanyl]methyl}-5-{[5-(2-thienyl)-1,3-oxazol-2-yl]methyl}-1,3,4-oxadiazole",CC1=CC=C(C=C1)SCC=1OC(=NN1)CC=1OC(=CN1)C=1SC=CC1,""
COCC[C@@H](C)NCCN1CCC(C)CC1,(R)-3-amino-3-(1-cyclopropyl-1H-indazol-3-yl)-1-methylpyrrolidine,N[C@]1(CN(CC1)C)C1=NN(C2=CC=CC=C12)C1CC1,""
CO[C@@H](CN)CC(=O)Cc1cccc(Cl)c1Br,"1-[[[(5-chloro-1,3,4-thiadiazol-2-yl)carbonyl]amino]methyl]cyclopropane-1-carboxylic acid",ClC1=NN=C(S1)C(=O)NCC1(CC1)C(=O)O,""
CCCCNC(=O)COc1cn(CC(C)C)c(CN(CCO)CCO)cc1=O,"N-(methoxycarbonyl)-N'-[(1,2,3,4-tetrahydroquinoxaline-5-yl)carbonyl]ethane-1,2-diamine",COC(=O)NCCNC(=O)C1=C2NCCNC2=CC=C1,""
C[C@@H]1OCC[C@@H]1[S@](=O)CC[C@H]1CO1,"N-((R)-1-hydroxy-3-(morpholin-4-yl)propan-2-yl)-2-(4-(2,2,2-trifluoroacetamido)phenyl)acetamide",OC[C@@H](CN1CCOCC1)NC(CC1=CC=C(C=C1)NC(C(F)(F)F)=O)=O,""
Cc1cc(C(=O)NC2(CNC(=O)[C@H]3C[C@H]3C(C)C)CC2)oc1C,"N2-(3,3-dimethylbutanoyl)-N2-methyl-N1-[(2S)-3,3,3-trifluoro-2-methylpropanoyl]-(2S)-propane-1,2-diamine",CC(CC(=O)N([C@H](CNC([C@@H](C(F)(F)F)C)=O)C)C)(C)C,""
Cc1cocc1C(=O)NCc1nccs1,"(1R,2R)-1-(isopropylamino)-2-(4-methyl-1,4-diazabicyclo[3.2.1]octan-1-yl)-2-methylpropan-1-ol","",Atom is in unphysical valency state! Element: N valency: 4 
CC[C@@H](OC)C(=O)N(CC)[C@H]1CCN(C(=O)CC(C)=C(C)C)C1,"2-[(S)-1-(3-aminopropoxy)-4-(1-fluorocyclopropyl)butyl]-3,4-dibromofuran",NCCCO[C@@H](CCCC1(CC1)F)C=1OC=C(C1Br)Br,""
Cc1c(F)cccc1S(=O)(=O)NNC(=O)c1cc2c(s1)CC[C@H](C)C2,"N-((1R,6R,8S)-8-bromo-2-oxa-5-azabicyclo[4.3.0]nonan-5-yl)-1-(methylthio)cyclohexane-1-carboxamide",Br[C@H]1C[C@H]2N(CCO[C@@H]2C1)NC(=O)C1(CCCCC1)SC,""
C[C@@H]1CCN[C@@H]1CN1CCC(C(=O)O)CC1,2-({methyl[(1R)-1-methyl-3-((R)-methylsulfinyl)propyl]amino}methyl)pyridin-2-carboximidamide,CN([C@@H](CC[S@](=O)C)C)CC1(NC=CC=C1)C(N)=N,""
O=C(N[C@@H]1[C@@H]2CCO[C@@H]21)[C@]12CCCC[C@@H]1CNC2,"(1R,3R)-3-{[(4R,5R)-4-[(tert-butoxycarbonyl)amino]-5-methoxypyrrolidin-1-yl]sulfonyl}cyclopropane-1-carboxylic acid",C(C)(C)(C)OC(=O)N[C@@H]1CCN([C@@H]1OC)S(=O)(=O)[C@@H]1C[C@@H]1C(=O)O,""
CC(C)[C@H](C)[C@H](O)[C@@H]1CO[C@H](C)CN1C(=O)OC(C)(C)C,"N-((2R,3R)-3-fluorotetrahydrofuran-2-yl)-5-chloro-2-methoxy-1H-pyrimidin-6-imine",F[C@H]1[C@@H](OCC1)N=C1C(=CN=C(N1)OC)Cl,""
C[C@H](CS(N)(=O)=O)N[C@@H]1CCc2ncccc2C1,"(2R,6S)-6-methyl-1-[(1R)-1-(1-methyl-1H-tetrazol-5-yl)ethyl]piperidine-2-carboxylic acid",C[C@H]1CCC[C@@H](N1[C@H](C)C1=NN=NN1C)C(=O)O,""
CN(C)S(=O)(=O)N1CCCN(C(=O)Nc2nnc(C(F)F)s2)CC1,"N-[(4R,5R)-5-(tert-butyl)-4-hydroxypiperidin-1-yl]-1-methyl-4-oxo-1,4-dihydropyrimidine-2-carboxamide",C(C)(C)(C)[C@H]1[C@@H](CCN(C1)NC(=O)C=1N(C=CC(N1)=O)C)O,""
CC[C@H]1C(=O)N(CC)CCN1CCCSC,"(1S,5R)-1-(1-phenylethyl)-2,6-diazabicyclo[3.2.1]octane",C1(=CC=CC=C1)C(C)[C@]12NCC[C@@H](NC1)C2,""
C[C@H]1CCC[C@@H](C(=O)N2CC[C@@H](O)[C@H]2C2CC2)N1,tert-Butyl (4R)-4-hydroxy-4-(3-((9S)-9-hydroxy-1-oxa-4-azaspiro[5.5]undec-6-yl)propanoyl)piperidine-1-carboxylate,"",Atom is in unphysical valency state! Element: C valency: 5 
CCCN=c1ncnc(N[C@@H](C)[C@@H]2CCCNC2)[nH]1,"N-methyl-N-(2-(5S-aminopiperidin-2R-yl)ethyl)-1-((1S,4R)-2-oxabicyclo[2.1.1]hexan-1-yl)methanamine","","N-methyl-N-(2-(5S-aminopiperidin-2R-yl)ethyl)-1-((1S,4R)-2-oxabicyclo[2.1.1]hexan-1-yl)methanamine is unparsable due to the following being uninterpretable: 2R-yl)ethyl)-1-((1S,4R)-2-oxabicyclo[2.1.1]hexan-1-yl)methanamine The following was not parseable: yl)ethyl)-1-((1S,4R)-2-oxabicyclo[2.1.1]hexan-1-yl)methanamine "
C[C@@H]1CN(C(=N)NC[C@@H]2CCCCO2)CCO1,"(2R,6R)-2-Methyl-1-[[(1R,3R)-1-methyl-3-fluorocyclopropyl]methyl]-1,4-oxazinane-6-carboxylic acid","",Atom is in unphysical valency state! Element: O valency: 3 
C[C@@H]1CC[C@](CO)(CN2CCN(C)C[C@H]2CCO)C1,"N-((3S,4R)-3-methyl-4-(2-hydroxyethyl)pyrrolidin-1-yl)-3-((1S)-1-aminoethyl)cyclopropane-1-carboxamide",C[C@@H]1CN(C[C@@H]1CCO)NC(=O)C1CC1[C@H](C)N,""
CC[C@]1(CO)CCCN1C(=O)[C@@H]1[C@H]2Cc3cc(Cl)ccc3[C@H]21,"N-((4R)-6-((R)-hydroxymethyl)-1-azaspiro[3.3]heptan-1-yl)-(2R,6S)-piperidine-6-carboxamide","","Could not find atom that: <stereoChemistry locant=""2"" type=""RorS"" value=""R"" stereoGroup=""Abs"">2R</stereoChemistry> appeared to be referring to "
NC1C[C@H]2C(C(=O)NCCc3cscn3)[C@@H]2C1,"N-[3-((S)-1-carbamoyl-1-(cyclopropylamino)-1-methylethyl)propyl]-(2S,4S)-4-methoxy-2-methylpiperidine",C(N)(=O)[C@@](CCCCN1[C@H](C[C@H](CC1)OC)C)(C)NC1CC1,""
COC(=N)NCCCCCCNC(=N)N,"(5S)-1-methyl-5-{[(1S,5R)-2-azabicyclo[3.2.1]octan-1-yl]methoxy}piperidin-2-one",CN1C(CC[C@@H](C1)OC[C@]12NCC[C@@H](CC1)C2)=O,""
N[C@@H](Cc1cn2ccsc2n1)[C@H]1CN2CCN1CC2,"7-ethyl-N-ethyl-N-isopropyl[1,2,4]triazolo[1,5-a]pyrimidin-5-amine",C(C)C1=CC(=NC=2N1N=CN2)N(C(C)C)CC,""
Cc1ccc([C@H](O)[C@H](C)N[C@H](C)C[C@H]2CCCCCN2C(=O)OC(C)(C)C)cc1,"(2S,4S)-4-methyl-1-((2S,7R)-2,3,4,5,6,7-hexahydro-1H-cyclopenta[c]pyridin-7-ylcarbonyl)piperidine-2-carboxylic acid","","Could not find atom that: <stereoChemistry locant=""2"" type=""RorS"" value=""S"" stereoGroup=""Abs"">2S</stereoChemistry> appeared to be referring to "
C=CCN(CCOC)c1nnc([C@@H]2CCS(=O)(=O)C2)n1C[C@H]1CCOC[C@@H]1OC,"tert-butyl N-[(3R,5R)-1-[(1S,2R)-1-(hydroxymethyl)-2-hydroxypropyl]piperidin-5-yl]carbamate","","Could not find atom that: <stereoChemistry locant=""3"" type=""RorS"" value=""R"" stereoGroup=""Abs"">3R</stereoChemistry> appeared to be referring to "
NC[C@@H](C1CCOCC1)N1C[C@H]2COC[C@H]1C2,"5-isopropyl-3-{4-[N-(4-(piperidin-1-ylmethyl)benzoyl)amino]benzyl}-1,2,4-oxadiazole",C(C)(C)C1=NC(=NO1)CC1=CC=C(C=C1)NC(C1=CC=C(C=C1)CN1CCCCC1)=O,""
CO[C@@H]1C[C@@H](N)C[C@@H]1OC[C@H]1CCc2nccn21,"(2S)-2-((4-cyanopyrimidin-2-yl)methyl)-6,6-dimethyl-1,3-oxaazepane",C(#N)C1=NC(=NC=C1)C[C@@H]1OCC(CCN1)(C)C,""
NCCCO[C@H](CCC1(F)CCC1)c1cc(Br)c(Br)o1,(S)-3-(ethylsulfonyl)-2-methyl-2-[(4-hydroxypyridin-2-yl)amino]propanoic acid,C(C)S(=O)(=O)C[C@](C(=O)O)(NC1=NC=CC(=C1)O)C,""
CSC1CCC(C(=O)N2CCO[C@@H]3C[C@H](Br)C[C@@H]32)CC1,"(1R,3S,6R)-3-(methoxymethyl)-6-[(1,4,7,10-tetraoxacyclododecan-2-yl)oxy]cyclohexan-1-ol",COC[C@@H]1C[C@H]([C@@H](CC1)OC1OCCOCCOCCOC1)O,""
C[C@@H](C[S@](C)=O)N(C)Cc1ccnc(C(=N)N)c1,"(2R,4R)-1-[(E)-2-methylbut-2-enoyl]-2-methyl-4-[[(R)-2-methoxy-3-methoxypropanoyl]amino]piperidine",C/C(/C(=O)N1[C@@H](C[C@@H](CC1)NC([C@@H](COC)OC)=O)C)=C\C,""
CO[C@@H]1CN(S(=O)(=O)[C@H]2C[C@@H](C(=O)O)C2)C[C@@H]1NC(=O)OC(C)(C)C,"1-[2-(N-*tert*-butylcarbamoyl)ethyl]-7,7-difluoro-1,4-diazacyclononan-8-one","","1-[2-(N-*tert*-butylcarbamoyl)ethyl]-7,7-difluoro-1,4-diazacyclononan-8-one is unparsable due to the following being uninterpretable: 1-[2-(N-*tert*-butylcarbamoyl)ethyl]-7,7-difluoro-1,4-diazacyclononan-8-one The following was not parseable: *tert*-butylcarbamoyl)ethyl]-7,7-difluoro-1,4-diazacyclononan-8-one "
COc1ncc(Cl)c(=N[C@H]2COC[C@H]2F)[nH]1,4-ethyl-2-{4-[N-(4-chlorophenyl)carbamoyl]piperazine-1-carbonyl}-5-propylthiophene,C(C)C=1C=C(SC1CCC)C(=O)N1CCN(CC1)C(NC1=CC=C(C=C1)Cl)=O,""
C[C@@H]1CCN([C@H](C)c2nnnn2C)C[C@H]1C(=O)O,"(3R,5R)-1-methyl-5-(4-methoxyphenyl)-3-{[N'-[2-(pyridin-3-yl)acetyl]hydrazin-1-yl]carbonyl}pyrrolidin-2-one",CN1C([C@@H](C[C@@H]1C1=CC=C(C=C1)OC)C(=O)NNC(CC=1C=NC=CC1)=O)=O,""
Cn1cc(C(=O)N2CC[C@H](O)[C@H]2C(C)(C)C)nc1O,"N-[(S)-1,3-dihydroxy-1-methylpropyl]-9-aminononanamide",O[C@](CCO)(C)NC(CCCCCCCCN)=O,""
CCc1ccccc1CN1C[C@@H]2CNC[C@@H]2C1,"(1R)-N-methyl-1-(2,6-dichlorophenyl)-1-[(1S)-1-hydroxy-2-oxa-bicyclo[2.2.0]hexan-1-yl]methanamine","",Atom is in unphysical valency state! Element: C valency: 5 
CC(C)(C)OC(=O)N1CC[C@](O)(C(=O)N2CCO[C@]3(CC[C@@H](O)CC3)C2)C1,3-Bromo-2-fluoro-6-methyl-1-[(3R)-hydroxy-5S-fluoropiperidin-1-yl]benzene,"",Unable to assign all locants. This locant was not assigned: 5  
CN(CCN1CCC[C@H](N)C1)C[C@@]12COC[C@H]1C2,N-[(1R)-1-methyl-2-(2-carboxyethoxy)ethyl]-(4S)-4-fluoro-6-oxa-bicyclo[3.1.1]heptane-1-carboxamide,C[C@H](COCCC(=O)O)NC(=O)C12CC[C@@H](C(O1)C2)F,""
CN(C[C@@H](O)Cn1cccn1)CC(C)(C)F,"(2R,5S)-5-methyl-2-{[(R)-(methylsulfinyl)methyl]-1H-imidazol-4-yl}methylsulfinyl]methyl}pyrrolidine","","Unmatched closing bracket found in :(2R,5S)-5-methyl-2-{[(R)-(methylsulfinyl)methyl]-1H-imidazol-4-yl}methylsulfinyl]methyl}pyrrolidine "
COC[C@](C)(N)CC(=O)OC[C@@H]1CCCN(C)C1,2-((2-(2-aminoethoxy)ethyl)amino)pyridine-4-carboxylic acid,NCCOCCNC1=NC=CC(=C1)C(=O)O,""
O=C(O[C@@H]1CCc2cccnc21)c1csc(-c2cccc(C(F)(F)F)c2)n1,methyl (R)-2-cyano-2-[methyl(cis-decalin-1-ylmethyl)amino]acetate,"","Could not find bond that: <stereoChemistry type=""cisOrTrans"" value=""cis"" subsequentUnsemanticToken=""-"">cis</stereoChemistry> could refer unambiguously to "
Cc1cc2occc2c([C@H](N)[C@@H](O)c2ncnn2C)n1,"N-((R)-(1,4-diazabicyclo[3.2.1]octan-5-yl)methyl)-1H-benzotriazole-5-carboxamide",N12CCN[C@@](CC1)(C2)CNC(=O)C2=CC1=C(NN=N1)C=C2,""
