ZINC SMILES,Generated IUPAC,OPSIN SMILES,OPSIN Errors
CC1(C)CCN[C@@H](C(=O)NCc2cnccn2)C1,"(1R)-N-[(3-methyl-1,2,4-oxadiazol-5-yl)methyl]-1-(4-methylpyridin-3-yl)ethanamine",CC1=NOC(=N1)CN[C@H](C)C=1C=NC=CC1C,""
CC[C@H](N)[C@H](c1ccncc1)N1C[C@@H]2[C@H](C(N)=O)[C@@H]2C1,"(2S,5R)-5-methoxy-N-methyl-N-(2-((1S,2S)-2-methoxycyclobutyl)ethyl)pyrrolidine-2-carboxamide",CO[C@@H]1CC[C@H](N1)C(=O)N(CC[C@H]1[C@H](CC1)OC)C,""
Nc1c(C(=O)O)cccc1N1CCn2cnnc2C1,"*N*′-(2-oxo-2-((2*S*,4*R*)-4-methyl-2-(pyridin-3-yl)pyrrolidin-1-yl)ethyl)-4-nitrobenzohydrazide","","*N*'-(2-oxo-2-((2*S*,4*R*)-4-methyl-2-(pyridin-3-yl)pyrrolidin-1-yl)ethyl)-4-nitrobenzohydrazide is unparsable due to the following being uninterpretable: *N*'-(2-oxo-2-((2*S*,4*R*)-4-methyl-2-(pyridin-3-yl)pyrrolidin-1-yl)ethyl)-4-nitrobenzohydrazide The following was not parseable: *N*'-(2-oxo-2-((2*S*,4*R*)-4-methyl-2-(pyridin-3-yl)pyrrolidin-1-yl)ethyl)-4-nitrobenzohydrazide "
Cc1cccc(CSCc2nc(Cc3coc(-c4cccs4)n3)no2)c1,"tert-butyl (1S,7S)-8-((1-methoxycyclohexan-1-yl)methyl)-5,8-diazabicyclo[5.1.1]nonane-5-carboxylate",COC1(CCCCC1)CN1[C@@H]2CN(CCC[C@H]1C2)C(=O)OC(C)(C)C,""
CN1CC[C@](N)(c2cnn(C3CC3)c2)C1,"(2R)-2-[(5-ethyl-2-methyl-2H-pyrazol-3-yl)amino]-N,N-dimethylpropanamide",C(C)C=1C=C(N(N1)C)N[C@@H](C(=O)N(C)C)C,""
O=C(NCC1(C(=O)O)CC1)c1nnc(Cl)s1,methyl (2S)-4-methyl-1-[(1R)-2-oxocyclohexyl]piperazine-2-carboxylate,CN1C[C@H](N(CC1)[C@H]1C(CCCC1)=O)C(=O)OC,""
COC(=O)NCCNC(=O)c1ccc2c(c1)NCCN2,"*N*-([(1*R*,2*R*)-2-cyanocyclohexyl]methyl)-1,5-dimethyl-1*H*-1,2,3-triazole-4-carboxamide","","*N*-([(1*R*,2*R*)-2-cyanocyclohexyl]methyl)-1,5-dimethyl-1*H*-1,2,3-triazole-4-carboxamide is unparsable due to the following being uninterpretable: *N*-([(1*R*,2*R*)-2-cyanocyclohexyl]methyl)-1,5-dimethyl-1*H*-1,2,3-triazole-4-carboxamide The following was not parseable: *N*-([(1*R*,2*R*)-2-cyanocyclohexyl]methyl)-1,5-dimethyl-1*H*-1,2,3-triazole-4-carboxamide "
O=C(Cc1ccc(NC(=O)C(F)(F)F)cc1)N[C@H](CO)CN1CCOCC1,*tert*-butyl methyl((3*R*)-3-{[3-(1*H*-pyrrol-1-yl)cyclobutyl]amino}butyl)carbamate,"",*tert*-butyl methyl((3*R*)-3-{[3-(1*H*-pyrrol-1-yl)cyclobutyl]amino}butyl)carbamate is unparsable due to the following being uninterpretable: *tert*-butyl methyl((3*R*)-3-{[3-(1*H*-pyrrol-1-yl)cyclobutyl]amino}butyl)carbamate The following was not parseable: *tert*-butyl methyl((3*R*)-3-{[3-(1*H*-pyrrol-1-yl)cyclobutyl]amino}butyl)carbamate 
C[C@@H](C(=O)NC[C@@H](C)N(C)C(=O)CC(C)(C)C)C(F)(F)F,1-((3E)-hex-3-en-1-yl)-4-methoxy-1H-imidazole,C(C\C=C\CC)N1C=NC(=C1)OC,""
CC(C)N[C@@H](CO)[C@@H](C)N1CC[C@@H]2CCN(C)[C@@H]2C1,(2R)-2-cyclopropyl-2-{[3-(dimethylamino)propyl]amino}-2-(methoxymethyl)acetic acid,C1(CC1)[C@](C(=O)O)(COC)NCCCN(C)C,""
CCS(=O)(=O)C[C@](C)(Nc1ccc(O)nc1)C(=O)O,"(3S,5S)-4-{[(1R,3R)-3-fluorocyclobutyl]methyl}-5-methylmorpholine-3-carboxylic acid","","Could not find atom that: <stereoChemistry locant=""1"" type=""RorS"" value=""R"" stereoGroup=""Abs"">1R</stereoChemistry> appeared to be referring to "
COC[C@@H]1CC[C@H](OCC2COCCOC2)C[C@H]1O,"(1R,2S)-N-((5R,6S)-6-(2-hydroxyethyl)-5-methylpiperidin-1-yl)-2-((S)-1-aminoethyl)cyclopropane-1-carboxamide",OCC[C@H]1[C@@H](CCCN1NC(=O)[C@H]1[C@H](C1)[C@H](C)N)C,""
C/C=C(/C)C(=O)N1CC[C@H](NC(=O)[C@H](COC)OC)[C@H]1C,"(1R,2S)-2-amino-N-((4S,6R)-6-(hydroxymethyl)-1-azaspiro[3.3]heptan-1-yl)cyclohexane-1-carboxamide","","Could not find atom that: <stereoChemistry locant=""4"" type=""RorS"" value=""S"" stereoGroup=""Abs"">4S</stereoChemistry> appeared to be referring to "
CC(C)(C)NC(=O)CCN1CCCNCC(F)(F)C1=O,"(2R)-2-(cyclopropylamino)-4-[(2S,4S)-4-methoxy-2-methylpiperidin-1-yl]-2-methylbutanamide",C1(CC1)N[C@@](C(=O)N)(CCN1[C@H](C[C@H](CC1)OC)C)C,""
CCCc1sc(C(=O)N2CCN(C(=O)Nc3ccc(Cl)cc3)CC2)cc1CC,"(5S)-5-({[(1S,2R,6S,7R)-3-azatricyclo[4.1.0.0^{2,7}]heptan-1-yl]oxy}methyl)-1-methylpiperidin-2-one",[C@@]12([C@@H]3NCC[C@H]2[C@H]31)OC[C@H]3CCC(N(C3)C)=O,""
COc1ccc([C@@H]2[C@@H](C(=O)NNC(=O)Cc3ccncc3)CCC(=O)N2C)cc1,6-ethyl-N-ethyl-N-isopropyl-9H-purin-2-amine,C(C)C1=C2N=CNC2=NC(=N1)N(C(C)C)CC,""
C[C@](O)(CCO)CNC(=O)CCCCCCCN,"(2R,5S)-1-((2S,3aS,7aS)-octahydro-1H-indole-2-carbonyl)-5-methylpyrrolidine-2-carboxylic acid",N1[C@@H](C[C@@H]2CCCC[C@H]12)C(=O)N1[C@H](CC[C@@H]1C)C(=O)O,""
CN[C@H](c1c(Cl)cccc1Cl)[C@]1(O)COC2CC1C2,"tert-butyl ((1S,3R)-3-((((2R,3S)-1,3-dihydroxybutan-2-yl)amino)methyl)cyclohexyl)carbamate",OC[C@H]([C@H](C)O)NC[C@H]1C[C@H](CCC1)NC(OC(C)(C)C)=O,""
Cc1cc(Br)c(F)c(N2C[C@H](O)C[C@@H](F)C2)c1,N-{4-[(5-(propan-2-yl)isoxazol-3-yl)methyl]phenyl}-5-[(piperidin-1-yl)methyl]furan-2-carboxamide,CC(C)C1=CC(=NO1)CC1=CC=C(C=C1)NC(=O)C=1OC(=CC1)CN1CCCCC1,""
C[C@@H](COCC(=O)O)NC(=O)[C@@]12CC[C@@](CF)(C1)OC2,"1-(((2S)-5,5-dimethylmorpholin-2-yl)methyl)-1H-1,2,4-triazole-3-carbonitrile",CC1(CO[C@@H](CN1)CN1N=C(N=C1)C#N)C,""
C[C@@H]1CCN[C@H]1C[S@](=O)Cc1cncn1C,"(2R)-4,4-dimethyl-N-(pyrazin-2-ylmethyl)piperidine-2-carboxamide",CC1(C[C@@H](NCC1)C(=O)NCC1=NC=CN=C1)C,""
NCCCONc1ccc(C(=O)O)nc1,"(1R,5S,6S)-3-[(1S,2S)-2-amino-1-(pyridin-3-yl)butyl]-3-azabicyclo[3.1.0]hexane-6-carboxamide","","Failed to assign CIP stereochemistry, this indicates a bug in OPSIN or a limitation in OPSIN's implementation of the sequence rules "
COC(=O)[C@H](CN)N(C)C[C@H]1C[C@@H]2CC[C@@H]2C1,"2-amino-6-(5,6,7,8-tetrahydro-[1,2,4]triazolo[4,3-a]pyrazin-7-yl)benzoic acid",NC1=C(C(=O)O)C(=CC=C1)N1CC=2N(CC1)C=NN2,""
O=C(NC[C@H]1CN2CCCN1CC2)c1cccc2nccn12,"5-(((3-methylbenzyl)sulfanyl)methyl)-3-((2-(2-thienyl)oxazol-4-yl)methyl)-1,2,4-oxadiazole",CC=1C=C(CSCC2=NC(=NO2)CC=2N=C(OC2)C=2SC=CC2)C=CC1,""
CNCCC[C@@](C)(NC[C@@H]1CC=CCO1)C(=O)O,"(3R)-3-amino-3-(2-cyclopropyl-2H-1,2,3-triazol-4-yl)-1-methylpyrrolidine",N[C@]1(CN(CC1)C)C1=NN(N=C1)C1CC1,""
CCn1ncnc1CN(C)[C@H](C)CNC(=O)[C@H](C)OC,"1-((5-chloro-1,3,4-thiadiazole-2-carboxamido)methyl)cyclopropane-1-carboxylic acid",ClC1=NN=C(S1)C(=O)NCC1(CC1)C(=O)O,""
CCCNCCOC[C@]1(OC)CCOC1,"methyl {[(1,2,3,4-tetrahydroquinoxaline-6-carbonyl)amino]methyl}carbamate",N1CCNC2=CC(=CC=C12)C(=O)NCNC(OC)=O,""
CO[C@H]1C[C@@H](O)CN(C(=O)[C@H]2CCC[C@@H](CN)C2)C1,"N-((2S)-1-hydroxy-3-(morpholin-4-yl)propan-2-yl)-2-(4-(2,2,2-trifluoroacetamido)phenyl)acetamide",OC[C@H](CN1CCOCC1)NC(CC1=CC=C(C=C1)NC(C(F)(F)F)=O)=O,""
CC(C)N1C[C@@H](O)[C@H]([C@@H]2C(=O)CO[C@H]2C)C1,"*N*-methyl-*N*-((1*S*)-1-({[(2*S*)-2-methyl-3,3,3-trifluoropropanoyl]amino}methyl)ethyl)-3,3-dimethylbutanamide","","*N*-methyl-*N*-((1*S*)-1-({[(2*S*)-2-methyl-3,3,3-trifluoropropanoyl]amino}methyl)ethyl)-3,3-dimethylbutanamide is unparsable due to the following being uninterpretable: *N*-methyl-*N*-((1*S*)-1-({[(2*S*)-2-methyl-3,3,3-trifluoropropanoyl]amino}methyl)ethyl)-3,3-dimethylbutanamide The following was not parseable: *N*-methyl-*N*-((1*S*)-1-({[(2*S*)-2-methyl-3,3,3-trifluoropropanoyl]amino}methyl)ethyl)-3,3-dimethylbutanamide "
CCn1nnc(CC2(C(=O)O)C[C@H]3C[C@@H]3C2)n1,"(2R,3R)-2-(isopropylamino)-3-[(3aR,8aS)-2-methyloctahydropyrrolo[1,2-a]pyrazin-4-yl]propan-1-ol","","Could not find atom that: <stereoChemistry locant=""3a"" type=""RorS"" value=""R"" stereoGroup=""Abs"">3aR</stereoChemistry> appeared to be referring to "
N#Cc1ccc(C(=O)N[C@H]2[C@@H]3CN(C[C@@H]4CCS(=O)(=O)C4)C[C@@H]32)[nH]1,(2S)-3-(ethylsulfonyl)-2-[(4-hydroxypyridin-2-yl)amino]-2-methylpropanoic acid,C(C)S(=O)(=O)C[C@@](C(=O)O)(C)NC1=NC=CC(=C1)O,""
O=C(N=c1c(Cl)c[nH]cc1Cl)[C@H]1CCCC[C@H]1C(=O)O,"(1S,2S,5S)-5-((1,3-dioxan-2-yl)methoxy)-2-(methoxymethyl)cyclohexan-1-ol",O1C(OCCC1)CO[C@H]1CC[C@H]([C@H](C1)O)COC,""
CCO[C@@H]1CNCC[C@H]1N=c1[nH]c(Cl)cc(=N)[nH]1,"1-((4S,5S)-4-((2S)-2,3-dimethoxypropanamido)-5-methylpiperidin-1-yl)-(E)-2-methylbut-2-en-1-one",CO[C@H](C(=O)N[C@H]1CCN(C[C@@H]1C)C(\C(=C\C)\C)=O)COC,""
CNc1c(-c2nnc(N3C[C@H]4C=C[C@H]3C4)n2C[C@H]2CCOC2)cccc1[N+](=O)[O-],"*N*-(*tert*-butyl)-3-(7,7-difluoro-8-oxo-1,5-diazocan-1-yl)propanamide","","*N*-(*tert*-butyl)-3-(7,7-difluoro-8-oxo-1,5-diazocan-1-yl)propanamide is unparsable due to the following being uninterpretable: *N*-(*tert*-butyl)-3-(7,7-difluoro-8-oxo-1,5-diazocan-1-yl)propanamide The following was not parseable: *N*-(*tert*-butyl)-3-(7,7-difluoro-8-oxo-1,5-diazocan-1-yl)propanamide "
COCC[C@@H](C)NCCN1CCC(C)CC1,N-(4-chlorophenyl)-4-((5-ethyl-2-propylthiophen-3-yl)carbonyl)piperazine-1-carboxamide,ClC1=CC=C(C=C1)NC(=O)N1CCN(CC1)C(=O)C1=C(SC(=C1)CC)CCC,""
CO[C@@H](CN)CC(=O)Cc1cccc(Cl)c1Br,"(5R,6R)-6-(4-methoxyphenyl)-1-methyl-2-oxo-N'-[2-(pyridin-4-yl)acetyl]piperidine-5-carbohydrazide",COC1=CC=C(C=C1)[C@H]1[C@@H](CCC(N1C)=O)C(=O)NNC(CC1=CC=NC=C1)=O,""
CCCCNC(=O)COc1cn(CC(C)C)c(CN(CCO)CCO)cc1=O,"*N*-((1*R*)-1,3-dihydroxy-1-methylpropyl)-7-aminoheptanamide","","*N*-((1*R*)-1,3-dihydroxy-1-methylpropyl)-7-aminoheptanamide is unparsable due to the following being uninterpretable: *N*-((1*R*)-1,3-dihydroxy-1-methylpropyl)-7-aminoheptanamide The following was not parseable: *N*-((1*R*)-1,3-dihydroxy-1-methylpropyl)-7-aminoheptanamide "
C[C@@H]1OCC[C@@H]1[S@](=O)CC[C@H]1CO1,"(1S)-1-[(R)-(2,6-dichlorophenyl)(methylamino)methyl]-3-oxabicyclo[3.2.0]heptan-1-ol","",Atom is in unphysical valency state! Element: C valency: 5 
Cc1cc(C(=O)NC2(CNC(=O)[C@H]3C[C@H]3C(C)C)CC2)oc1C,"1-(3-Bromo-2-fluoro-5-methylphenyl)-(3S,5R)-5-fluoropyrrolidin-3-ol",BrC=1C(=C(C=C(C1)C)N1C[C@H](C[C@H]1F)O)F,""
Cc1cocc1C(=O)NCc1nccs1,"(4R)-4-[(1R,4S)-4-(fluoromethyl)-5-oxabicyclo[2.1.0]pentane-1-carboxamido]-3-oxapentanoic acid",FC[C@@]12CC[C@]2(O1)C(=O)N[C@H](OCC(=O)O)C,""
CC[C@@H](OC)C(=O)N(CC)[C@H]1CCN(C(=O)CC(C)=C(C)C)C1,"(2S,5R)-2-methyl-5-({[(R)-((1-methyl-1,2,4-triazol-5-yl)methyl)sulfinyl]methyl})pyrrolidine",C[C@@H]1N[C@H](CC1)C[S@@](=O)CC1=NC=NN1C,""
Cc1c(F)cccc1S(=O)(=O)NNC(=O)c1cc2c(s1)CC[C@H](C)C2,2-(3-aminopropanoylamino)pyridine-4-carboxylic acid,NCCC(=O)NC1=NC=CC(=C1)C(=O)O,""
C[C@@H]1CCN[C@@H]1CN1CCC(C(=O)O)CC1,"methyl (2R)-2-cyano-2-{[((1R,2S,4R)-bicyclo[2.2.1]heptan-2-yl)methyl](methyl)amino}acetate",C(#N)[C@H](C(=O)OC)N(C)C[C@@H]1[C@@H]2CC[C@@H](C1)C2,""
O=C(N[C@@H]1[C@@H]2CCO[C@@H]21)[C@]12CCCC[C@@H]1CNC2,"N-[((2S)-1,4-diazabicyclo[3.2.2]nonan-2-yl)methyl]quinoxaline-5-carboxamide",N12[C@@H](CNC(CC1)CC2)CNC(=O)C=2C=1N=CC=NC1C=CC2,""
CC(C)[C@H](C)[C@H](O)[C@@H]1CO[C@H](C)CN1C(=O)OC(C)(C)C,"(2R)-6-cyano-2-({[(2S)-3,4-dihydro-2H-pyran-2-yl]methyl}amino)-2-methylhexanoic acid",C(#N)CCCC[C@@](C(=O)O)(C)NC[C@H]1OC=CCC1,""
C[C@H](CS(N)(=O)=O)N[C@@H]1CCc2ncccc2C1,"(2S)-N-{(2S)-2-[[(1-ethyl-1H-1,2,4-triazol-5-yl)methyl](methyl)amino]propyl}-2-methoxypropanamide",C(C)N1N=CN=C1CN([C@H](CNC([C@H](C)OC)=O)C)C,""
CN(C)S(=O)(=O)N1CCCN(C(=O)Nc2nnc(C(F)F)s2)CC1,N-(2-(((2R)-2-methoxytetrahydrofuran-2-yl)methoxy)ethyl)propan-1-amine,CO[C@]1(OCCC1)COCCNCCC,""
CC[C@H]1C(=O)N(CC)CCN1CCCSC,"N-[(3S,5R)-3-hydroxy-5-methoxypyrrolidin-1-yl]-(1S,3S)-3-(aminomethyl)cyclohexane-1-carboxamide",O[C@@H]1CN([C@@H](C1)OC)NC(=O)[C@@H]1C[C@H](CCC1)CN,""
C[C@H]1CCC[C@@H](C(=O)N2CC[C@@H](O)[C@H]2C2CC2)N1,"(3S,4R)-1-isopropyl-4-((4R,5S)-4-methyl-2-oxotetrahydrofuran-5-yl)azetidin-3-ol",C(C)(C)N1C[C@@H]([C@@H]1[C@@H]1[C@@H](CC(O1)=O)C)O,""
CCCN=c1ncnc(N[C@@H](C)[C@@H]2CCCNC2)[nH]1,"(1R,4S)-2-[(1-ethyl-1H-1,2,4-triazol-5-yl)methyl]bicyclo[2.1.0]pentane-2-carboxylic acid",C(C)N1N=CN=C1CC1([C@@H]2C[C@H]2C1)C(=O)O,""
